Area,Type,Rent,Date,BHK,Scociety
Kalewadi,Unfurnished,19000,28/01/19,2Bhk,Shrenath
Kalewadi,Unfurnished,15000,03/01/19,1Rk,Shivsai
Kalewadi,Unfurnished,22000,28/01/19,3Bhk,SaiScociety
Kalewadi,Unfurnished,11000,12/12/18,1Bhk,Shivtirth
Kalewadi,Furnished,22000,28/01/19,2Bhk,IndependentHouse
PimpleSudagar,Unfurnished,19000,28/01/19,2Bhk,Shivsai
PimpleSudagar,Furnished,25000,28/01/19,3Bhk,Kohinoor
PimpleSudagar,Furnished,23000,28/01/19,2Bhk,Lakshde
PimpleSudagar,Furnished,25000,28/01/19,3Bhk,Sidhhivinyak
PimpleSudagar,Semifurnished,20000,28/01/19,2Bhk,Namrth
Wakad,Unfurnished,10000,28/01/19,1Bhk,Aditya
Wakad,Unfurnished,14000,28/01/19,1Bhk,Dwarka
Wakad,Furnished,40000,28/01/19,3Bhk,Pratham
Wakad,Furnished,25000,28/01/19,2Bhk,SaiSridhhi
Wakad,Unfurnished,18000,28/01/19,2Bhk,SaiSridhhi
DehuRoad,Semifurnished,18000,28/01/19,3Bhk,Ambadi
DehuRoad,Semifurnished,22000,28/01/19,2Bhk,Prime
DehuRoad,Unfurnished,12000,28/01/19,2Bhk,Urban
DehuRoad,Unfurnished,10000,28/01/19,2Bhk,Krishna
DehuRoad,Unfurnished,10000,28/01/19,2Bhk,Ellora
Hinjawadi,Semifurnished,24000,28/01/19,2Bhk,Lodha
Hinjawadi,Semifurnished,23000,28/01/19,2Bhk,Saigal
Hinjawadi,Unfurnished,5000,28/01/19,1Bhk,Xrbia
Hinjawadi,Unfurnished,30000,28/01/19,3Bhk,Megapolis
Hinjawadi,Unfurnished,10000,28/01/19,1Rk,Standalone
Baner,Unfurnished,27000,28/01/19,3Bhk,Pride
Baner,Furnished,60000,28/01/19,3Bhk,Saarthi
Baner,Semifurnished,32000,28/01/19,3Bhk,Tiara
Baner,Semifurnished,27000,28/01/19,3Bhk,Nana
Baner,Semifurnished,22999,28/01/19,2Bhk,Suntiorozon
Chinchwad,Unfurnished,15000,28/01/19,2Bhk,Mangal
Chinchwad,Unfurnished,5500,28/01/19,1Rk,IndependentHouse
Chinchwad,Semifurnished,12000,28/01/19,1Bhk,Sonigara
Chinchwad,Furnished,32000,28/01/19,3Bhk,Empire
Chinchwad,Unfurnished,12000,28/01/19,1Bhk,Jhanvi
Akurdi,Unfurnished,12000,28/01/19,2Bhk,Ganraj
Akurdi,Semifurnished,10000,28/01/19,1Bhk,Ganraj
Akurdi,Semifurnished,17500,28/01/19,2Bhk,Sarswati
Akurdi,Semifurnished,12000,28/01/19,1Bhk,Nirupam
Akurdi,Unfurnished,11000,28/01/19,1Bhk,IndependentHouse
Ravet,Semifurnished,12000,28/01/19,2Bhk,RoyalHills
Ravet,Unfurnished,10000,28/01/19,2Bhk,Krishna
Ravet,Semifurnished,20000,28/01/19,3Bhk,Silverland
Ravet,Unfurnished,15000,28/01/19,2Bhk,Exotica
Ravet,Unfurnished,12000,28/01/19,2Bhk,ArunBlue
Nigadi,Unfurnished,18000,28/01/19,2Bhk,IndependentHouse
Nigadi,Unfurnished,16000,28/01/19,2Bhk,Pratima
Nigadi,Unfurnished,8200,28/01/19,1Rk,Gurudev
Nigadi,Furnished,15000,28/01/19,1Bhk,Standalone
Nigadi,Unfurnished,13000,28/01/19,2Bhk,Perna
Kalewadi,Semifurnished,11500,28/01/19,1Bhk,Gulmohar
Kalewadi,Unfurnished,15000,28/01/19,2Bhk,IndependentHouse
Kalewadi,Unfurnished,16500,28/01/19,2Bhk,Nimal
Kalewadi,Unfurnished,15000,28/01/19,2Bhk,Rohit
Kalewadi,Unfurnished,15000,28/01/19,2Bhk,Rohit
PimpleSudagar,Semifurnished,21000,28/01/19,3Bhk,Sunit
PimpleSudagar,Furnished,23000,28/01/19,2Bhk,Solitatira
PimpleSudagar,Furnished,23000,28/01/19,2Bhk,Lunkad
PimpleSudagar,Unfurnished,28000,28/01/19,3Bhk,IndependentHouse
PimpleSudagar,Unfurnished,18000,28/01/19,2Bhk,Sairaj
Wakad,Unfurnished,27000,28/01/19,4Bhk,Webstar
Wakad,Furnished,20000,28/01/19,2Bhk,SilverNes
Wakad,Unfurnished,14000,28/01/19,1Bhk,Rounak
Wakad,Furnished,22000,28/01/19,2Bhk,Sana
Wakad,Furnished,40000,28/01/19,3Bhk,Pratham
DehuRoad,Unfurnished,7000,28/01/19,1Bhk,Ellora
DehuRoad,Furnished,8000,28/01/19,1Bhk,Ellora
DehuRoad,Unfurnished,12000,28/01/19,3Bhk,Ellora
DehuRoad,Furnished,8500,28/01/19,1Bhk,Vrundavan
DehuRoad,Unfurnished,7000,28/01/19,1Bhk,Vrundavan
Hinjawadi,Semifurnished,18000,28/01/19,1Rk,BlueRidge
Hinjawadi,Unfurnished,13000,28/01/19,1Bhk,Kolte
Hinjawadi,Furnished,24000,28/01/19,2Bhk,Tanisha
Hinjawadi,Furnished,24000,28/01/19,3Bhk,TCG
Hinjawadi,Unfurnished,25000,28/01/19,2Bhk,Kolte
Baner,Unfurnished,30000,28/01/19,3Bhk,IndependentHouse
Baner,Unfurnished,29000,28/01/19,3Bhk,IndependentHouse
Baner,Semifurnished,13000,28/01/19,1Bhk,Rajshree
Baner,Furnished,34000,28/01/19,3Bhk,Vandan
Baner,Furnished,19000,28/01/19,1Bhk,karan
Chinchwad,Unfurnished,7000,28/01/19,1Rk,Karvir
Chinchwad,Semifurnished,18000,28/01/19,3Bhk,Premdagar
Chinchwad,Unfurnished,18000,28/01/19,3Bhk,Rama
Chinchwad,Semifurnished,12900,28/01/19,2Bhk,Saigal
Chinchwad,Unfurnished,10500,28/01/19,1Bhk,Shank
Akurdi,Unfurnished,7500,28/01/19,1Rk,Standalone
Akurdi,Unfurnished,7000,28/01/19,1Rk,Standalone
Akurdi,Unfurnished,6500,28/01/19,1Bhk,Standalone
Akurdi,Unfurnished,9000,28/01/19,1Bhk,IndependentHouse
Akurdi,Semifurnished,15000,28/01/19,2Bhk,NbArcade
Ravet,Semifurnished,23000,28/01/19,3Bhk,Silvaroak
Ravet,Semifurnished,14000,28/01/19,2Bhk,Vasturiver
Ravet,Unfurnished,12000,28/01/19,2Bhk,PeaceVally
Ravet,Unfurnished,16000,28/01/19,2Bhk,Kohinoor
Ravet,Unfurnished,3000,28/01/19,1Rk,Saishirdi
Nigadi,Semifurnished,13000,28/01/19,1Bhk,IndependentHouse
Nigadi,Semifurnished,7500,28/01/19,1Rk,Apsara
Nigadi,Unfurnished,4000,28/01/19,1Rk,IndependentHouse
Nigadi,Unfurnished,4000,28/01/19,1Rk,Matrukrupa
Nigadi,Semifurnished,15000,28/01/19,1Bhk,yamuna
Nigadi,Furnished,15000,28/01/19,2Bhk,Runal
Nigadi,Semifurnished,25000,28/01/19,3Bhk,IndependentHouse
Nigadi,Unfurnished,8000,28/01/19,1Rk,ShriSwamisamarth
Nigadi,Semifurnished,14500,28/01/19,2Bhk,ShriSwamisamarth
Nigadi,Semifurnished,13000,28/01/19,2Bhk,ShriSwamisamarth
Ravet,Semifurnished,20000,28/01/19,3Bhk,Shankeshwar
Ravet,Semifurnished,16000,28/01/19,2Bhk,Shankeshwar
Ravet,Unfurnished,9000,28/01/19,1Bhk,Shankeshwar
Ravet,Unfurnished,10000,28/01/19,1Bhk,Shankeshwar
Ravet,Unfurnished,18000,28/01/19,2Bhk,Shankeshwar
akurdi,Unfurnished,6000,28/01/19,1Rk,IndependentHouse
akurdi,Semifurnished,15000,28/01/19,1Bhk,Walhekar
akurdi,Semifurnished,14500,28/01/19,2Bhk,Railvilar
akurdi,Semifurnished,12000,28/01/19,2Bhk,Nb
akurdi,Furnished,16000,28/01/19,2Bhk,Narayani
Chinchwad,Semifurnished,12500,28/01/19,1Bhk,Shradhha
Chinchwad,Unfurnished,10000,28/01/19,1Bhk,Gurukrupa
Chinchwad,Semifurnished,25000,28/01/19,4Bhk,Mind
Chinchwad,Unfurnished,10000,28/01/19,2Bhk,Shindurva
Chinchwad,Unfurnished,8000,28/01/19,1Rk,Samdhan
Baner,Semifurnished,20000,28/01/19,2Bhk,Gulmohar
Baner,Semifurnished,14000,28/01/19,1Bhk,Atharv
Baner,Furnished,35000,28/01/19,2Bhk,BlueRidge
Baner,Unfurnished,20000,28/01/19,2Bhk,Rohan
Baner,Semifurnished,16000,28/01/19,2Bhk,Tiara
Hinjawadi,Semifurnished,20000,28/01/19,3Bhk,airCastles
Hinjawadi,Semifurnished,17000,28/01/19,2Bhk,sunshine
Hinjawadi,Semifurnished,25000,28/01/19,3Bhk,Megapolis
Hinjawadi,Semifurnished,9500,28/01/19,1Rk,IndependentHouse
Hinjawadi,Unfurnished,25000,28/01/19,2Bhk,TCG
DehuRoad,Unfurnished,10500,28/01/19,2Bhk,Vrundavan
DehuRoad,Furnished,11500,28/01/19,2Bhk,Vrundavan
DehuRoad,Unfurnished,9500,28/01/19,2Bhk,Indrapuram
DehuRoad,Unfurnished,12000,28/01/19,3Bhk,Indrapuram
DehuRoad,Semifurnished,12500,28/01/19,3Bhk,Indrapuram
Wakad,Unfurnished,14000,28/01/19,1Bhk,Aditya
Wakad,Furnished,25000,28/01/19,2Bhk,SaiShrithi
Wakad,Unfurnished,18000,28/01/19,2Bhk,Saishirdi
Wakad,Unfurnished,27000,28/01/19,4Bhk,Webstar
Wakad,Furnished,20000,28/01/19,2Bhk,Webstar
Kalewadi,Semifurnished,16300,28/01/19,1Bhk,Sneh
Kalewadi,Furnished,21000,28/01/19,1Bhk,Sonigara
Kalewadi,Unfurnished,9000,28/01/19,1Bhk,Simaran
Kalewadi,Semifurnished,16300,28/01/19,2Bhk,Saishirdi
Kalewadi,Unfurnished,15500,28/01/19,2Bhk,Keshar
PimpleSudagar,Semifurnished,16000,28/01/19,1Bhk,Vasant
PimpleSudagar,Unfurnished,25000,28/01/19,3Bhk,Rose
PimpleSudagar,Semifurnished,21000,28/01/19,2Bhk,Rajveer
PimpleSudagar,Unfurnished,20000,28/01/19,2Bhk,Kingdon
PimpleSudagar,Semifurnished,26000,28/01/19,3Bhk,Swastik
Kalewadi,Unfurnished,12500,28/01/19,1Bhk,Swastik
Kalewadi,Unfurnished,16000,28/01/19,2Bhk,Swastik
Kalewadi,Furnished,18000,28/01/19,2Bhk,Swastik
Kalewadi,Unfurnished,9000,28/01/19,1Rk,Shivari
Kalewadi,Unfurnished,16000,28/01/19,2Bhk,Divine
PimpleSudagar,Furnished,15000,28/01/19,1Bhk,Standalone
PimpleSudagar,Semifurnished,20000,28/01/19,2Bhk,Palam
PimpleSudagar,Unfurnished,10000,28/01/19,1Bhk,Omsai
PimpleSudagar,Unfurnished,22000,28/01/19,2Bhk,Shivari
PimpleSudagar,Unfurnished,20000,28/01/19,2Bhk,Rose
Wakad,Unfurnished,14000,28/01/19,1Bhk,Rounak
Wakad,Semifurnished,36000,28/01/19,4Bhk,Webstar
Wakad,Furnished,31000,28/01/19,3Bhk,Apstrophe
Wakad,Furnished,25000,28/01/19,2Bhk,satish
Wakad,Unfurnished,13000,28/01/19,2Bhk,IndependentHouse
DehuRoad,Furnished,12500,28/01/19,2Bhk,SaudagarGarden
DehuRoad,Semifurnished,11500,28/01/19,2Bhk,SaudagarGarden
DehuRoad,Unfurnished,10000,28/01/19,1Bhk,SaudagarGarden
DehuRoad,Semifurnished,11000,28/01/19,1Bhk,Saigal
DehuRoad,Furnished,8000,28/01/19,1Bhk,Saigal
Hinjawadi,Unfurnished,15000,28/01/19,2Bhk,Achrace
Hinjawadi,Semifurnished,18000,28/01/19,2Bhk,Green
Hinjawadi,Unfurnished,24000,28/01/19,3Bhk,Sparklet
Hinjawadi,Unfurnished,23000,28/01/19,2Bhk,Life
Hinjawadi,Unfurnished,12000,28/01/19,2Bhk,Hazel
Baner,Unfurnished,13000,28/01/19,2Bhk,Athashri
Baner,Semifurnished,34000,28/01/19,3Bhk,Rajeshri
Baner,Semifurnished,19000,28/01/19,1Bhk,Nandan
Baner,Furnished,13500,28/01/19,1Bhk,Nandan
Baner,Semifurnished,20000,28/01/19,2Bhk,Mohan
Chinchwad,Unfurnished,9000,28/01/19,1Rk,Anandvan
Chinchwad,Unfurnished,15000,28/01/19,1Rk,Anchal
Chinchwad,Unfurnished,12000,28/01/19,2Bhk,Mnaula
Chinchwad,Semifurnished,8000,28/01/19,1Bhk,Sidhhivinyak
Chinchwad,Unfurnished,10000,28/01/19,1Bhk,Darshan
akurdi,Semifurnished,23000,28/01/19,2Bhk,Sidhhivinyak
akurdi,Semifurnished,14500,28/01/19,2Bhk,Ralvivihar
akurdi,Unfurnished,14000,28/01/19,2Bhk,IndependentHouse
akurdi,Semifurnished,16000,28/01/19,2Bhk,Nirupama
akurdi,Unfurnished,20000,28/01/19,3Bhk,Nirupam
Ravet,Unfurnished,15000,28/01/19,2Bhk,ganesh
Ravet,Furnished,20000,28/01/19,2Bhk,plumeria
Ravet,Furnished,22000,28/01/19,2Bhk,plumeria
Ravet,Unfurnished,17000,28/01/19,2Bhk,plumeria
Ravet,Semifurnished,19000,28/01/19,2Bhk,plumeria
Nigadi,Semifurnished,16000,28/01/19,2Bhk,Elegant
Nigadi,Unfurnished,15000,28/01/19,2Bhk,Nirupam
Nigadi,Semifurnished,21000,28/01/19,3Bhk,Kohinoor
Nigadi,Semifurnished,15000,28/01/19,2Bhk,Standalone
Nigadi,Semifurnished,15000,28/01/19,2Bhk,Narayani
